codmpio,depto,mpio,found,source,found2,comments
41078,HUILA,BARAYA,1847,BZ93,,
41132,HUILA,CAMPOALEGRE,1819,BZ93,,
41206,HUILA,COLOMBIA,1845,WEB.MUN,,
41244,HUILA,ELIAS,1827,BZ93,,
41298,HUILA,GARZON,1775,BZ93,,
41306,HUILA,GIGANTE,1750,BZ93,,
41319,HUILA,GUADALUPE,1715,WEB.MUN,,
41349,HUILA,HOBO,1662,BZ93,,
41357,HUILA,IQUIRA,1692,BZ93,,
41378,HUILA,LA UNION,1870,WEB.MUN,,Today La Argentina
41396,HUILA,LA PLATA,1551,BZ93,,
41483,HUILA,NATAGA,1753,BZ93,,
41503,HUILA,OPORAPA,1779,BZ93,,
41518,HUILA,PAICOL,1701,BZ93,,
41524,HUILA,PALERMO,1600,BZ93,,
41548,HUILA,PITAL,1719,BZ93,,
41551,HUILA,PITALITO,1818,WEB.MUN,,
41615,HUILA,RIVERA,1885,BZ93,,
41660,HUILA,SALADOBLANCO,1874,BZ93,,
41676,HUILA,SANTA MARIA,1905,BZ93,,
41797,HUILA,TESALIA,1777,BZ93,,
41799,HUILA,TELLO,1811,BZ93,,
41801,HUILA,TERUEL,1697,BZ93,,
41807,HUILA,TIMANA,1538,BZ93,,
41872,HUILA,VILLAVIEJA,1550,BZ93,,
41885,HUILA,YAGUARA,1608,BZ93,,
44001,MAGDALENA,RIOHACHA,1545, ,,
44430,LA GUAJIRA,MAICAO,1927,,,
44847,LA GUAJIRA,URIBIA,1935,,,
44874,MAGDALENA,VILLANUEVA,1662,WEB.MUN,,
47001,MAGDALENA,SANTA MARTA,1525,BZ93,,
47053,MAGDALENA,ARACATACA,1885,BZ93,,
47161,MAGDALENA,CERRO SAN ANTONIO,1525,BZ93,,
47189,MAGDALENA,CIENAGA,1538,BZ93,,
47245,MAGDALENA,EL BANCO,1744,BZ93,,
